level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,anchor,cap,v_score,exit_reason,pnl
1013_upper,2021-12-28,2021,upper,2021-12-28 03:28:00-05:00,2021-12-28 04:11:00-05:00,16592.642008049654,16625.642008049654,22.0,33.0,0.013072950290510007,SL,-33.0
1025_lower,2021-12-31,2021,lower,2021-12-30 19:28:00-05:00,2021-12-30 20:00:00-05:00,16361.783170368326,16385.033170368326,15.5,23.25,0.015939597315436243,TP,23.25
1039_lower,2022-01-18,2022,lower,2022-01-18 03:10:00-05:00,2022-01-18 03:19:00-05:00,15397.302536893398,15345.177536893398,34.75,52.125,0.010446075663466968,SL,-52.125
1038_lower,2022-01-19,2022,lower,2022-01-18 21:47:00-05:00,2022-01-19 04:41:00-05:00,15125.980470062965,15222.730470062965,64.5,96.75,0.01201834862385321,TP,96.75
1049_upper,2022-02-01,2022,upper,2022-02-01 02:12:00-05:00,2022-02-01 03:01:00-05:00,14934.757318438846,14882.257318438846,35.0,52.5,0.022763106030744974,TP,52.5
1050_upper,2022-02-02,2022,upper,2022-02-02 04:44:00-05:00,2022-02-02 05:30:00-05:00,15221.075791511645,15221.075791511645,36.0,54.0,0.0105475763016158,BE,-0.0
1053_upper,2022-02-09,2022,upper,2022-02-09 05:14:00-05:00,2022-02-09 06:16:00-05:00,14872.83087731542,14872.83087731542,21.5,32.25,0.013006654567453115,BE,-0.0
1045_lower,2022-02-21,2022,lower,2022-02-20 19:04:00-05:00,2022-02-20 20:09:00-05:00,13810.601816727918,13988.726816727918,118.75,178.125,0.013307984790874524,TP,178.125
1066_upper,2022-03-01,2022,upper,2022-03-01 02:07:00-05:00,2022-03-01 03:06:00-05:00,14302.928269466458,14302.928269466458,51.25,76.875,0.012168141592920354,BE,-0.0
1072_lower,2022-03-04,2022,lower,2022-03-03 19:23:00-05:00,2022-03-03 19:36:00-05:00,13953.51822142953,13899.51822142953,36.0,54.0,0.014230220390042809,SL,-54.0
1077_upper,2022-03-11,2022,upper,2022-03-11 06:26:00-05:00,2022-03-11 06:28:00-05:00,13824.115930626305,13752.115930626305,48.0,72.0,0.02188101861759041,TP,72.0
1079_lower,2022-03-15,2022,lower,2022-03-15 03:13:00-04:00,2022-03-15 04:05:00-04:00,12962.621135300313,13020.371135300313,38.5,57.75,0.03414727203357497,TP,57.75
1079_upper,2022-03-16,2022,upper,2022-03-16 01:47:00-04:00,2022-03-16 02:43:00-04:00,13578.503864699687,13578.503864699687,22.75,34.125,0.026980762960547768,BE,-0.0
1086_lower,2022-04-11,2022,lower,2022-04-10 20:00:00-04:00,2022-04-10 21:30:00-04:00,14286.08670759079,14286.08670759079,55.5,83.25,0.018392370572207085,BE,0.0
1097_lower,2022-04-11,2022,lower,2022-04-10 21:55:00-04:00,2022-04-11 08:09:00-04:00,14239.955251332522,14154.455251332522,57.0,85.5,0.010328068043742407,SL,-85.5
1118_lower,2022-05-10,2022,lower,2022-05-09 20:16:00-04:00,2022-05-09 20:44:00-04:00,12107.686455371198,12161.686455371198,36.0,54.0,0.028373800112930548,TP,54.0
1132_upper,2022-05-30,2022,upper,2022-05-29 19:14:00-04:00,2022-05-30 00:34:00-04:00,12733.78235199662,12806.15735199662,48.25,72.375,0.02567829457364341,SL,-72.375
1138_lower,2022-06-07,2022,lower,2022-06-06 21:26:00-04:00,2022-06-07 01:23:00-04:00,12495.726312429277,12495.726312429277,62.25,93.375,0.011748120300751879,BE,0.0
1130_lower,2022-06-13,2022,lower,2022-06-13 04:18:00-04:00,2022-06-13 09:33:00-04:00,11463.889350439938,11576.014350439938,74.75,112.125,0.010685011709601873,TP,112.125
1150_upper,2022-06-24,2022,upper,2022-06-24 01:39:00-04:00,2022-06-24 09:32:00-04:00,11874.846477759074,11874.846477759074,55.0,82.5,0.01049424509140149,BE,-0.0
1152_upper,2022-06-27,2022,upper,2022-06-27 03:34:00-04:00,2022-06-27 06:42:00-04:00,12236.810160825215,12180.935160825215,37.25,55.875,0.01412363973141931,TP,55.875
1158_upper,2022-07-05,2022,upper,2022-07-04 19:06:00-04:00,2022-07-05 04:24:00-04:00,11729.578380953579,11575.078380953579,103.0,154.5,0.02060491493383743,TP,154.5
1162_lower,2022-07-12,2022,lower,2022-07-12 02:01:00-04:00,2022-07-12 02:22:00-04:00,11783.392712713761,11814.142712713761,20.5,30.75,0.02036741214057508,TP,30.75
1160_lower,2022-07-13,2022,lower,2022-07-13 08:30:00-04:00,2022-07-13 08:31:00-04:00,11579.068530530343,11628.568530530343,33.0,49.5,0.013367627880017389,TP,49.5
1154_upper,2022-07-20,2022,upper,2022-07-19 22:36:00-04:00,2022-07-20 00:09:00-04:00,12354.526735464444,12354.526735464444,29.0,43.5,0.010215882806476484,BE,-0.0
1184_lower,2022-08-23,2022,lower,2022-08-23 02:21:00-04:00,2022-08-23 03:17:00-04:00,12840.755364146054,12906.380364146054,43.75,65.625,0.014042821158690176,TP,65.625
1198_upper,2022-09-12,2022,upper,2022-09-12 04:42:00-04:00,2022-09-12 10:19:00-04:00,12763.025908248905,12836.900908248905,49.25,73.875,0.014959432048681541,SL,-73.875
