exit,cap_pct_of_price,pnl_pct_of_price,cap_pts,pnl_pts,price_level,month,year
TP,0.0051511902644952754,0.0051511902644952754,65.625,65.625,12739.774038695905,3,2021
TP,0.005156357100895277,0.005156357100895277,65.625,65.625,12727.008373529017,3,2021
cutoff,0.010740845630366308,-0.009255544817243886,139.875,-120.53234688075827,13022.717653119242,3,2021
BE,0.015482393741113838,0.0,200.0,0.0,12917.899088749797,3,2021
SL,0.0028254782362929056,-0.0028254782362929056,36.0,-36.0,12741.205908997852,3,2021
cutoff,0.011860959068315663,-0.005242606816538503,154.875,-68.45557142848338,13057.544428571517,3,2021
SL,0.004893088544611124,-0.004893088544611124,64.5,-64.5,13181.85833179647,4,2021
SL,0.0025997399954021845,-0.0025997399954021845,34.875,-34.875,13414.803042488398,4,2021
BE,0.0034117386012052055,-0.0,46.875,-0.0,13739.329262634976,4,2021
TP,0.0028632069700651763,0.0028632069700651763,39.375,39.375,13752.062079921416,4,2021
SL,0.003649048439513188,-0.003649048439513188,50.625,-50.625,13873.479850750839,4,2021
TP,0.0025427948498714555,0.0025427948498714555,34.875,34.875,13715.223625595678,4,2021
TP,0.0006405852899948973,0.0006405852899948973,9.0,9.0,14049.651374404322,4,2021
BE,0.002855588571751477,-0.0,40.125,-0.0,14051.393956724412,4,2021
TP,0.002853611831877333,0.002853611831877333,40.125,40.125,14061.127568847576,4,2021
SL,0.002698824960121905,-0.002698824960121905,37.125,-37.125,13755.986604749303,5,2021
TP,0.0094667487128955,0.0094667487128955,126.75,126.75,13388.96846679183,5,2021
SL,0.0018643782462699175,-0.0018643782462699175,25.5,-25.5,13677.48205119757,5,2021
cutoff,0.014820107780621004,-0.007886409761052615,200.0,-106.4285075087646,13495.178507508765,5,2021
SL,0.0018104813815521036,-0.0018104813815521036,24.0,-24.0,13256.14294880243,5,2021
TP,0.013382671972436784,0.013382671972436784,172.875,172.875,12917.82391110361,5,2021
BE,0.0064401298334001225,0.0,84.75,0.0,13159.67258306895,5,2021
TP,0.0024890311031429625,0.0024890311031429625,32.625,32.625,13107.509969965256,5,2021
BE,0.010241800779630723,0.0,133.5,0.0,13034.817106139166,5,2021
SL,0.002993469266303596,-0.002993469266303596,40.5,-40.5,13529.45241693105,5,2021
TP,0.0033615233609750723,0.0033615233609750723,46.125,46.125,13721.457519968146,5,2021
SL,0.003923292910445952,-0.003923292910445952,53.25,-53.25,13572.782154047016,6,2021
cutoff,0.012273937352185084,-0.004203073374097489,168.375,-57.658146612397104,13718.091853387603,6,2021
BE,0.0015452125774170677,-0.0,21.375,-0.0,13833.048159451191,6,2021
BE,0.0015451107023221262,-0.0,21.375,-0.0,13833.96022555264,6,2021
TP,0.002843403152246727,0.002843403152246727,39.375,39.375,13847.842845952984,6,2021
TP,0.00284053330709102,0.00284053330709102,39.375,39.375,13861.83358656822,6,2021
TP,0.006733174864533654,0.006733174864533654,93.375,93.375,13867.900638054682,6,2021
TP,0.00672904958004308,0.00672904958004308,93.375,93.375,13876.402438307223,6,2021
cutoff,0.011786795207534966,-0.0012676215034003139,164.25,-17.66441414035944,13935.08558585964,6,2021
TP,0.00112265625116604,0.00112265625116604,15.75,15.75,14029.2275428399,6,2021
BE,0.0043719677514534585,-0.0,61.875,-0.0,14152.666148882203,6,2021
BE,0.002191954684748359,-0.0,31.125,-0.0,14199.654863564487,6,2021
SL,0.0010239609845739206,-0.0010239609845739206,14.625,-14.625,14282.770750377364,6,2021
cutoff,0.005813279160891636,-0.003161988063643986,85.125,-46.30161849588694,14643.198381504113,7,2021
TP,0.001878812120002111,0.001878812120002111,27.75,27.75,14769.97071956765,7,2021
SL,0.0015956245182361128,-0.0015956245182361128,23.625,-23.625,14806.114928665245,7,2021
SL,0.003527356116875264,-0.003527356116875264,51.75,-51.75,14671.044908797909,7,2021
TP,0.0017655038879658897,0.0017655038879658897,26.25,26.25,14868.276518067436,7,2021
TP,0.0035768521462487997,0.0035768521462487997,53.25,53.25,14887.391992382349,7,2021
TP,0.0032907498238517476,0.0032907498238517476,48.75,48.75,14814.252863178532,7,2021
BE,0.003181127349567611,0.0,46.5,0.0,14617.459438183269,7,2021
BE,0.0033817276674301382,0.0,49.125,0.0,14526.598481932564,7,2021
cutoff,0.00535297600293411,-0.0010191708018680507,77.625,-14.779280432350788,14501.27928043235,7,2021
SL,0.0024693652845707618,-0.0024693652845707618,36.75,-36.75,14882.366829089071,7,2021
TP,0.0019234367467449139,0.0019234367467449139,28.875,28.875,15012.191094334647,7,2021
SL,0.005968418600213003,-0.005968418600213003,89.625,-89.625,15016.540561816731,7,2021
BE,0.0018352874624927274,-0.0,27.75,-0.0,15120.247136821468,7,2021
SL,0.008594694765582223,-0.008594694765582223,128.25,-128.25,14921.995893743886,7,2021
BE,0.006247373799128145,0.0,92.625,0.0,14826.22986524775,7,2021
TP,0.0042623829107737475,0.0042623829107737475,63.75,63.75,14956.42257734829,8,2021
TP,0.004264201549033168,0.004264201549033168,63.75,63.75,14950.043816398447,8,2021
BE,0.009084901322151279,0.0,135.75,0.0,14942.374736532061,8,2021
BE,0.003129223164253886,0.0,46.125,0.0,14740.080070638804,8,2021
BE,0.0031272766691737785,0.0,46.125,0.0,14749.254664502118,8,2021
cutoff,0.005893216191432803,-0.0032617903296550776,88.5,-48.98317570533436,15017.266824294666,8,2021
TP,0.0005939331140192173,0.0005939331140192173,9.0,9.0,15153.221444576327,8,2021
SL,0.0016572942777486532,-0.0016572942777486532,25.125,-25.125,15160.25267047382,8,2021
TP,0.0019525827069833384,0.0019525827069833384,30.0,30.0,15364.265950275054,8,2021
SL,0.0014288338440799195,-0.0014288338440799195,22.125,-22.125,15484.655610356942,8,2021
TP,0.002536420528853876,0.002536420528853876,39.75,39.75,15671.691483257986,8,2021
BE,0.0057800187051300364,0.0,90.0,0.0,15570.883865846456,9,2021
TP,0.0008757487211503617,0.0008757487211503617,13.5,13.5,15415.380775283047,9,2021
BE,0.012596482687645263,0.0,193.875,0.0,15391.201243038602,9,2021
SL,0.0029498204891255657,-0.0029498204891255657,45.0,-45.0,15255.1655824113,9,2021
TP,0.0020344385582347075,0.0020344385582347075,31.125,31.125,15299.061195048975,9,2021
TP,0.002034839275652634,0.002034839275652634,31.125,31.125,15296.048377097144,9,2021
cutoff,0.011898393512616245,-0.0005585973990584537,182.25,-8.556144648473492,15317.193855351527,9,2021
TP,0.005753321348896803,0.005753321348896803,88.5,88.5,15382.419064245358,9,2021
SL,0.012682445377100891,-0.012682445377100891,190.875,-190.875,15050.330935754642,9,2021
TP,0.005256227114042551,0.005256227114042551,76.875,76.875,14625.509577891058,9,2021
BE,0.005265612307375312,0.0,76.875,0.0,14599.441719688431,9,2021
BE,0.0034133696008919992,-0.0,50.625,-0.0,14831.385381404469,10,2021
cutoff,0.0032344924247822127,0.0024892224864157316,48.375,37.22875863234367,14955.978758632344,10,2021
cutoff,0.009702186201159493,0.002621943920425937,145.125,39.21895576548923,14957.96895576549,10,2021
BE,0.007922837507891177,0.0,116.625,0.0,14720.10499822078,10,2021
BE,0.004593744573665151,-0.0,68.625,-0.0,14938.793156548334,10,2021
SL,0.004137722707515219,-0.004137722707515219,61.875,-61.875,14953.877863206815,10,2021
TP,0.002581495837530379,0.002581495837530379,39.0,39.0,15107.52000177922,10,2021
BE,0.0054391985392710455,-0.0,83.625,-0.0,15374.50773238502,10,2021
SL,0.0017357166686451336,-0.0017357166686451336,27.0,-27.0,15555.53419964312,10,2021
TP,0.006187063417218409,0.006187063417218409,101.625,101.625,16425.401381401833,11,2021
BE,0.004548854163988053,0.0,73.875,0.0,16240.353578456474,11,2021
TP,0.007567120861200387,0.007567120861200387,121.5,121.5,16056.304931374681,11,2021
TP,0.0013596116960510494,0.0013596116960510494,22.125,22.125,16273.028589163645,11,2021
TP,0.0018501355768198592,0.0018501355768198592,30.375,30.375,16417.715750437408,11,2021
SL,0.0010660272518170971,-0.0010660272518170971,17.625,-17.625,16533.348439223577,11,2021
TP,0.00930954631108589,0.00930954631108589,156.0,156.0,16756.992745632924,11,2021
SL,0.0038970250696222725,-0.0038970250696222725,63.75,-63.75,16358.632254367074,11,2021
SL,0.006563464479964324,-0.006563464479964324,106.5,-106.5,16226.186692272446,11,2021
TP,0.00905108261415305,0.00905108261415305,148.875,148.875,16448.308599813936,11,2021
SL,0.003804448531243867,-0.003804448531243867,61.125,-61.125,16066.717553940765,12,2021
TP,0.002923259795782765,0.002923259795782765,48.0,48.0,16420.0253666291,12,2021
SL,0.002500342653088859,-0.002500342653088859,40.125,-40.125,16047.80046864001,12,2021
TP,0.003511897763625737,0.003511897763625737,57.75,57.75,16444.1005652676,12,2021
TP,0.005938630303233757,0.005938630303233757,93.0,93.0,15660.17671606175,12,2021
TP,0.012775794461919232,0.012775794461919232,200.0,200.0,15654.603758391648,12,2021
TP,0.008583481982430669,0.008583481982430669,133.125,133.125,15509.440140084233,12,2021
TP,0.0019907303914586815,0.0019907303914586815,31.5,31.5,15823.338074885565,12,2021
BE,0.004847276438737497,-0.0,77.625,-0.0,16014.14752821853,12,2021
TP,0.004842552999205032,0.004842552999205032,77.625,77.625,16029.767771822662,12,2021
BE,0.0014814483553005858,-0.0,24.0,-0.0,16200.362242887906,12,2021
SL,0.0022175293091626557,-0.0022175293091626557,36.375,-36.375,16403.39085923301,12,2021
SL,0.0019888333626429462,-0.0019888333626429462,33.0,-33.0,16592.642008049654,12,2021
TP,0.0014209942619277853,0.0014209942619277853,23.25,23.25,16361.783170368326,12,2021
SL,0.0076930330529568075,-0.0076930330529568075,125.25,-125.25,16280.964755748751,1,2022
TP,0.004321718484328312,0.004321718484328312,69.75,69.75,16139.413118399969,1,2022
