config,pool_id,source,year,side,effective_exit_reason,pnl_class,n_trades,base_weight,gross_profit_pts,gross_loss_pts,net_pts,points_pf,avg_stop_pts,avg_target_pts,avg_abs_pnl_pts,scenario_id,scenario_family,target_points_pf,scenario_weight,achieved_points_pf
operational_100r,1rr,validation,2021,lower,SL,loss,19,0.014022140221402213,0.0,1251.375,-1251.375,0.0,65.86184210526316,65.86184210526316,65.86184210526316,operational_100r__pf_1.35__stable,stable,1.35,0.016729382886456545,1.35
operational_100r,1rr,validation,2021,lower,TP,profit,17,0.012546125461254613,1338.375,-0.0,1338.375,inf,78.7279411764706,78.7279411764706,78.7279411764706,operational_100r__pf_1.35__stable,stable,1.35,0.01056101297146076,1.35
operational_100r,1rr,validation,2021,lower,cutoff,loss,1,0.0007380073800738007,0.0,14.779280432350788,-14.779280432350788,0.0,77.625,77.625,14.779280432350788,operational_100r__pf_1.35__stable,stable,1.35,0.0007454184436785252,1.35
operational_100r,1rr,validation,2021,upper,BE,scratch_or_flat,11,0.008118081180811807,0.0,-0.0,0.0,inf,68.38636363636364,68.38636363636364,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.008183298755795123,1.35
operational_100r,1rr,validation,2021,upper,FLAT,scratch_or_flat,21,0.015498154981549815,0.0,-0.0,0.0,inf,48.30357142857143,48.30357142857143,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.015622661261063419,1.35
operational_100r,1rr,validation,2021,upper,SL,loss,17,0.012546125461254613,0.0,641.25,-641.25,0.0,37.720588235294116,37.720588235294116,37.720588235294116,operational_100r__pf_1.35__stable,stable,1.35,0.013787647256366203,1.35
operational_100r,1rr,validation,2021,upper,TP,profit,26,0.01918819188191882,1054.5,-0.0,1054.5,inf,40.55769230769231,40.55769230769231,40.55769230769231,operational_100r__pf_1.35__stable,stable,1.35,0.01678159840442082,1.35
operational_100r,1rr,validation,2021,upper,cutoff,loss,3,0.002214022140221402,0.0,85.74530074356335,-85.74530074356335,0.0,101.25,101.25,28.581766914521115,operational_100r__pf_1.35__stable,stable,1.35,0.0022577302899330653,1.35
operational_100r,1rr,validation,2021,upper,cutoff,profit,1,0.0007380073800738007,87.14197105333187,-0.0,87.14197105333187,inf,200.0,200.0,87.14197105333187,operational_100r__pf_1.35__stable,stable,1.35,0.0007352566303694728,1.35
operational_100r,1rr,validation,2022,lower,BE,scratch_or_flat,15,0.01107011070110701,0.0,-0.0,0.0,inf,102.93333333333334,102.93333333333334,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.011159043757902441,1.35
operational_100r,1rr,validation,2022,lower,FLAT,scratch_or_flat,3,0.002214022140221402,0.0,-0.0,0.0,inf,111.91666666666667,111.91666666666667,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.0022318087515804884,1.35
operational_100r,1rr,validation,2022,lower,SL,loss,21,0.015498154981549815,0.0,1581.125,-1581.125,0.0,75.29166666666667,75.29166666666667,75.29166666666667,operational_100r__pf_1.35__stable,stable,1.35,0.01924396949776638,1.35
operational_100r,1rr,validation,2022,lower,TP,profit,25,0.01845018450184502,2388.0,-0.0,2388.0,inf,95.52,95.52,95.52,operational_100r__pf_1.35__stable,stable,1.35,0.015098579379835393,1.35
operational_100r,1rr,validation,2022,lower,cutoff,loss,1,0.0007380073800738007,0.0,24.120270154380705,-24.120270154380705,0.0,91.875,91.875,24.120270154380705,operational_100r__pf_1.35__stable,stable,1.35,0.0007463567610108704,1.35
operational_100r,1rr,validation,2022,upper,BE,scratch_or_flat,18,0.013284132841328414,0.0,-0.0,0.0,inf,75.56944444444444,75.56944444444444,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.013390852509482932,1.35
operational_100r,1rr,validation,2022,upper,FLAT,scratch_or_flat,1,0.0007380073800738007,0.0,-0.0,0.0,inf,91.5,91.5,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.0007439362505268295,1.35
operational_100r,1rr,validation,2022,upper,SL,loss,18,0.013284132841328414,0.0,1004.625,-1004.625,0.0,55.8125,55.8125,55.8125,operational_100r__pf_1.35__stable,stable,1.35,0.015330872652597943,1.35
operational_100r,1rr,validation,2022,upper,TP,profit,23,0.016974169741697416,1766.0,-0.0,1766.0,inf,76.78260869565217,76.78260869565217,76.78260869565217,operational_100r__pf_1.35__stable,stable,1.35,0.013890693029448562,1.35
operational_100r,1rr,validation,2024,lower,BE,scratch_or_flat,4,0.002952029520295203,0.0,-0.0,0.0,inf,67.6875,67.6875,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.002975745002107318,1.35
operational_100r,1rr,validation,2024,lower,FLAT,scratch_or_flat,32,0.023616236162361623,0.0,-0.0,0.0,inf,85.77734375,85.77734375,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.023805960016858543,1.35
operational_100r,1rr,validation,2024,lower,SL,loss,7,0.0051660516605166054,0.0,312.0,-312.0,0.0,44.57142857142857,44.57142857142857,44.57142857142857,operational_100r__pf_1.35__stable,stable,1.35,0.005431028249744601,1.35
operational_100r,1rr,validation,2024,lower,TP,profit,4,0.002952029520295203,193.5,-0.0,193.5,inf,48.375,48.375,48.375,operational_100r__pf_1.35__stable,stable,1.35,0.0028992005434465393,1.35
operational_100r,1rr,validation,2024,lower,cutoff,profit,1,0.0007380073800738007,109.2887283195887,-0.0,109.2887283195887,inf,127.875,127.875,109.2887283195887,operational_100r__pf_1.35__stable,stable,1.35,0.000733066927901414,1.35
operational_100r,1rr,validation,2024,upper,BE,scratch_or_flat,3,0.002214022140221402,0.0,-0.0,0.0,inf,47.125,47.125,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.0022318087515804884,1.35
operational_100r,1rr,validation,2024,upper,FLAT,scratch_or_flat,59,0.043542435424354244,0.0,-0.0,0.0,inf,68.5572033898305,68.5572033898305,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.04389223878108294,1.35
operational_100r,1rr,validation,2024,upper,SL,loss,4,0.002952029520295203,0.0,226.875,-226.875,0.0,56.71875,56.71875,56.71875,operational_100r__pf_1.35__stable,stable,1.35,0.0030680696180920308,1.35
operational_100r,1rr,validation,2024,upper,TP,profit,3,0.002214022140221402,95.625,-0.0,95.625,inf,31.875,31.875,31.875,operational_100r__pf_1.35__stable,stable,1.35,0.002203251364105978,1.35
operational_100r,1rr,validation,2025,lower,BE,scratch_or_flat,2,0.0014760147601476014,0.0,-0.0,0.0,inf,118.125,118.125,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.001487872501053659,1.35
operational_100r,1rr,validation,2025,lower,FLAT,scratch_or_flat,43,0.03173431734317343,0.0,-0.0,0.0,inf,102.27325581395348,102.27325581395348,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.03198925877265367,1.35
operational_100r,1rr,validation,2025,lower,SL,loss,1,0.0007380073800738007,0.0,114.75,-114.75,0.0,114.75,114.75,114.75,operational_100r__pf_1.35__stable,stable,1.35,0.0007555222100642556,1.35
operational_100r,1rr,validation,2025,lower,TP,profit,5,0.0036900369003690036,709.375,-0.0,709.375,inf,141.875,141.875,141.875,operational_100r__pf_1.35__stable,stable,1.35,0.0033807705784713446,1.35
operational_100r,1rr,validation,2025,upper,BE,scratch_or_flat,4,0.002952029520295203,0.0,-0.0,0.0,inf,112.4375,112.4375,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.002975745002107318,1.35
operational_100r,1rr,validation,2025,upper,FLAT,scratch_or_flat,71,0.05239852398523985,0.0,-0.0,0.0,inf,70.93838028169014,70.93838028169014,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.05281947378740489,1.35
operational_100r,1rr,validation,2025,upper,SL,loss,2,0.0014760147601476014,0.0,169.5,-169.5,0.0,84.75,84.75,84.75,operational_100r__pf_1.35__stable,stable,1.35,0.0015222271276077578,1.35
operational_100r,1rr,validation,2025,upper,TP,profit,6,0.004428044280442804,329.625,-0.0,329.625,inf,54.9375,54.9375,54.9375,operational_100r__pf_1.35__stable,stable,1.35,0.0042698028045763305,1.35
operational_100r,1rr,build_years,2018,lower,BE,scratch_or_flat,13,0.00959409594095941,0.0,-0.0,0.0,inf,36.40384615384615,36.40384615384615,0.0,operational_100r__pf_1.50__stable,stable,1.5,0.009652841906898722,1.4999999999999998
operational_100r,1rr,build_years,2018,lower,FLAT,scratch_or_flat,6,0.004428044280442804,0.0,-0.0,0.0,inf,38.5,38.5,0.0,operational_100r__pf_1.50__stable,stable,1.5,0.004455157803184026,1.4999999999999998
operational_100r,1rr,build_years,2018,lower,SL,loss,15,0.01107011070110701,0.0,440.625,-440.625,0.0,29.375,29.375,29.375,operational_100r__pf_1.50__stable,stable,1.5,0.011585037101385358,1.4999999999999998
operational_100r,1rr,build_years,2018,lower,TP,profit,17,0.012546125461254613,573.0,-0.0,573.0,inf,33.705882352941174,33.705882352941174,33.705882352941174,operational_100r__pf_1.50__stable,stable,1.5,0.01199308359614576,1.4999999999999998
operational_100r,1rr,build_years,2018,upper,BE,scratch_or_flat,12,0.008856088560885609,0.0,-0.0,0.0,inf,28.75,28.75,0.0,operational_100r__pf_1.50__stable,stable,1.5,0.008910315606368052,1.4999999999999998
operational_100r,1rr,build_years,2018,upper,FLAT,scratch_or_flat,13,0.00959409594095941,0.0,-0.0,0.0,inf,19.615384615384617,19.615384615384617,0.0,operational_100r__pf_1.50__stable,stable,1.5,0.009652841906898722,1.4999999999999998
operational_100r,1rr,build_years,2018,upper,SL,loss,15,0.01107011070110701,0.0,352.125,-352.125,0.0,23.475,23.475,23.475,operational_100r__pf_1.50__stable,stable,1.5,0.011493810030470586,1.4999999999999998
