pool_id,config,config_label,target_r,level_id,session_date,year,source,side,entry_time,exit_time,entry_price,exit_price,level,anchor,raw_stop_pts,effective_stop_pts,target_pts,pnl_pts_baseline,pnl_pts_effective,mae_pts,mfe_pts,mae_mfe_status,exit_reason,effective_exit_reason,gap_through,is_flat,rolling_pf_window_trades,rolling_pf_threshold,rolling_pf_reentry,r_multiple_baseline,r_multiple_effective
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1297_lower,2023-01-19,2023,build_years,lower,2023-01-19 05:26:00-05:00,2023-01-19 08:30:00-05:00,11413.349099754088,11351.099099754088,11413.349099754088,41.5,62.25,62.25,93.375,-62.25,-62.25,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1297_upper,2023-01-23,2023,build_years,upper,2023-01-23 09:51:00-05:00,2023-01-23 10:31:00-05:00,11802.650900245912,11860.775900245912,11802.650900245912,38.75,58.125,58.125,87.1875,-58.125,-58.125,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1302_lower,2023-01-25,2023,build_years,lower,2023-01-25 09:30:00-05:00,2023-01-25 13:48:00-05:00,11693.33517488565,11830.58517488565,11693.33517488565,61.0,91.5,91.5,137.25,137.25,137.25,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.5,1.5
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1302_upper,2023-01-26,2023,build_years,upper,2023-01-26 09:32:00-05:00,2023-01-26 14:42:00-05:00,12061.53982511435,12061.53982511435,12061.53982511435,80.0,120.0,120.0,180.0,-0.0,-0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,-0.0,-0.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1306_lower,2023-01-31,2023,build_years,lower,2023-01-31 05:34:00-05:00,2023-01-31 08:30:00-05:00,11895.872014981738,11951.559514981738,11895.872014981738,24.75,37.125,37.125,55.6875,55.6875,55.6875,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.5,1.5
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1309_lower,2023-02-06,2023,build_years,lower,2023-02-06 04:53:00-05:00,2023-02-06 11:32:00-05:00,12500.098735179718,12603.036235179718,12500.098735179718,45.75,68.625,68.625,102.9375,102.9375,102.9375,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.5,1.5
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1312_lower,2023-02-10,2023,build_years,lower,2023-02-10 04:56:00-05:00,2023-02-10 07:09:00-05:00,12340.168862818882,12271.168862818882,12340.168862818882,46.0,69.0,69.0,103.5,-69.0,-69.0,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1316_upper,2023-02-14,2023,build_years,upper,2023-02-14 08:29:00-05:00,2023-02-14 08:30:00-05:00,12614.653492198106,12556.153492198106,12614.653492198106,26.0,39.0,39.0,58.5,58.5,58.5,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.5,1.5
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1318_lower,2023-02-17,2023,build_years,lower,2023-02-17 02:02:00-05:00,2023-02-17 03:02:00-05:00,12377.141552724202,12377.141552724202,12377.141552724202,26.75,40.125,40.125,60.1875,0.0,0.0,,,missing_source_not_imputed,BE,FLAT,False,True,100,1.1,symmetric,0.0,0.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1319_lower,2023-02-17,2023,build_years,lower,2023-02-17 03:36:00-05:00,2023-02-17 06:08:00-05:00,12344.34054521155,12344.34054521155,12344.34054521155,40.0,60.0,60.0,90.0,0.0,0.0,,,missing_source_not_imputed,BE,FLAT,False,True,100,1.1,symmetric,0.0,0.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1321_lower,2023-02-21,2023,build_years,lower,2023-02-21 03:46:00-05:00,2023-02-21 04:37:00-05:00,12259.764318305486,12259.764318305486,12259.764318305486,35.75,53.625,53.625,80.4375,0.0,0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,0.0,0.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1308_lower,2023-02-24,2023,build_years,lower,2023-02-24 08:39:00-05:00,2023-02-24 09:39:00-05:00,11986.569081537058,12033.256581537058,11986.569081537058,20.75,31.125,31.125,46.6875,46.6875,46.6875,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.5,1.5
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1327_lower,2023-03-02,2023,build_years,lower,2023-03-01 20:39:00-05:00,2023-03-01 21:40:00-05:00,11896.630632581931,11896.630632581931,11896.630632581931,46.25,69.375,69.375,104.0625,0.0,0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,0.0,0.0
