level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,exit_reason,pnl,gap_through,source
140_upper,2018-07-24,2018,upper,2018-07-24 09:36:00-04:00,2018-07-24 11:08:00-04:00,7478.0641178731985,7435.8766178731985,7478.0641178731985,18.75,28.125,TP,42.1875,False,build_years
136_lower,2018-07-30,2018,lower,2018-07-30 09:44:00-04:00,2018-07-30 10:35:00-04:00,7226.908261951898,7226.908261951898,7226.908261951898,20.5,30.75,BE,0.0,False,build_years
153_upper,2018-08-07,2018,upper,2018-08-06 23:02:00-04:00,2018-08-07 00:41:00-04:00,7459.432390640652,7459.432390640652,7459.432390640652,5.5,8.25,BE,-0.0,False,build_years
146_upper,2018-08-07,2018,upper,2018-08-07 09:35:00-04:00,2018-08-07 09:45:00-04:00,7482.682503501307,7471.432503501307,7482.682503501307,5.0,7.5,TP,11.25,False,build_years
156_lower,2018-08-10,2018,lower,2018-08-10 06:04:00-04:00,2018-08-10 09:02:00-04:00,7424.720023865139,7424.720023865139,7424.720023865139,21.0,31.5,BE,0.0,False,build_years
161_lower,2018-08-17,2018,lower,2018-08-17 08:08:00-04:00,2018-08-17 09:28:00-04:00,7360.173904777643,7360.173904777643,7360.173904777643,10.25,15.375,BE,0.0,False,build_years
164_lower,2018-08-22,2018,lower,2018-08-21 19:14:00-04:00,2018-08-22 06:13:00-04:00,7352.896833553673,7394.521833553673,7352.896833553673,18.5,27.75,TP,41.625,False,build_years
165_upper,2018-08-23,2018,upper,2018-08-23 09:42:00-04:00,2018-08-23 09:49:00-04:00,7452.447510363063,7463.322510363063,7452.447510363063,7.25,10.875,SL,-10.875,False,build_years
161_upper,2018-08-23,2018,upper,2018-08-23 09:53:00-04:00,2018-08-23 11:07:00-04:00,7466.576095222357,7450.263595222357,7466.576095222357,7.25,10.875,TP,16.3125,False,build_years
154_upper,2018-08-27,2018,upper,2018-08-26 19:44:00-04:00,2018-08-26 21:10:00-04:00,7522.8484656051105,7522.8484656051105,7522.8484656051105,18.75,28.125,BE,-0.0,False,build_years
156_upper,2018-08-27,2018,upper,2018-08-27 09:30:00-04:00,2018-08-27 10:03:00-04:00,7534.904976134861,7547.279976134861,7534.904976134861,8.25,12.375,SL,-12.375,False,build_years
168_upper,2018-08-29,2018,upper,2018-08-28 22:28:00-04:00,2018-08-29 00:32:00-04:00,7599.9516883498845,7599.9516883498845,7599.9516883498845,5.25,7.875,BE,-0.0,False,build_years
173_lower,2018-09-04,2018,lower,2018-09-04 07:41:00-04:00,2018-09-04 09:30:00-04:00,7633.061168833607,7633.061168833607,7633.061168833607,14.5,21.75,BE,0.0,False,build_years
171_lower,2018-09-04,2018,lower,2018-09-04 09:39:00-04:00,2018-09-04 09:42:00-04:00,7604.500703523443,7590.250703523443,7604.500703523443,9.5,14.25,SL,-14.25,False,build_years
167_lower,2018-09-07,2018,lower,2018-09-07 09:00:00-04:00,2018-09-07 11:37:00-04:00,7401.824362995334,7492.386862995334,7401.824362995334,40.25,60.375,TP,90.5625,False,build_years
179_upper,2018-09-12,2018,upper,2018-09-12 03:47:00-04:00,2018-09-12 04:00:00-04:00,7527.395003291416,7537.895003291416,7527.395003291416,7.0,10.5,SL,-10.5,False,build_years
178_upper,2018-09-13,2018,upper,2018-09-13 09:32:00-04:00,2018-09-13 09:45:00-04:00,7547.622652900693,7578.372652900693,7547.622652900693,20.5,30.75,SL,-30.75,False,build_years
176_upper,2018-09-14,2018,upper,2018-09-14 02:25:00-04:00,2018-09-14 09:32:00-04:00,7612.28905045813,7588.66405045813,7612.28905045813,10.5,15.75,TP,23.625,False,build_years
182_lower,2018-09-17,2018,lower,2018-09-17 09:36:00-04:00,2018-09-17 09:37:00-04:00,7544.14004620946,7531.01504620946,7544.14004620946,8.75,13.125,SL,-13.125,False,build_years
184_upper,2018-09-20,2018,upper,2018-09-20 09:43:00-04:00,2018-09-20 15:00:00-04:00,7584.795092564204,7607.25,7584.795092564204,21.5,32.25,cutoff,-22.454907435795576,False,build_years
183_upper,2018-09-21,2018,upper,2018-09-21 02:47:00-04:00,2018-09-21 06:49:00-04:00,7631.354115860666,7611.666615860666,7631.354115860666,8.75,13.125,TP,19.6875,False,build_years
186_lower,2018-09-24,2018,lower,2018-09-24 09:31:00-04:00,2018-09-24 09:32:00-04:00,7499.12113621541,7485.24613621541,7499.12113621541,9.25,13.875,SL,-13.875,False,build_years
