sess_date,year,side,touched_at,level,anchor,cap,pnl,exit
2018-10-04,2018,lower,2018-10-04 09:37:00-04:00,7598.874057218644,19.0,28.5,-28.5,SL
2018-10-10,2018,lower,2018-10-10 09:56:00-04:00,7264.878636162692,23.5,35.25,-35.25,SL
2018-10-10,2018,lower,2018-10-10 09:56:00-04:00,7263.635807644854,23.5,35.25,-35.25,SL
2018-10-23,2018,lower,2018-10-23 10:02:00-04:00,6992.205098282242,48.75,73.125,0.0,BE
2018-10-23,2018,lower,2018-10-23 05:18:00-04:00,7027.698032730936,17.5,26.25,26.25,TP
2018-11-08,2018,upper,2018-11-07 20:26:00-05:00,7229.370655897224,9.75,14.625,14.625,TP
2018-10-26,2018,lower,2018-10-26 05:25:00-04:00,6763.834672745259,37.25,55.875,55.875,TP
2018-10-31,2018,upper,2018-10-31 04:24:00-04:00,6883.648064612444,21.25,31.875,-31.875,SL
2018-11-20,2018,lower,2018-11-20 08:40:00-05:00,6543.851935387556,54.25,81.375,-81.375,SL
2018-11-02,2018,upper,2018-11-02 01:04:00-04:00,7087.303601040522,63.75,95.625,95.625,TP
2018-11-13,2018,lower,2018-11-12 19:25:00-05:00,6814.696398959478,21.75,32.625,0.0,BE
2018-11-02,2018,upper,2018-11-02 02:12:00-04:00,7107.39482569008,36.0,54.0,54.0,TP
2018-11-05,2018,lower,2018-11-05 10:03:00-05:00,6888.820846797373,73.25,109.875,55.429153202627276,cutoff
2018-11-07,2018,upper,2018-11-07 03:50:00-05:00,7096.261853229378,22.0,33.0,33.0,TP
2018-11-14,2018,lower,2018-11-14 03:31:00-05:00,6791.613146770622,36.5,54.75,0.0,BE
2018-11-07,2018,upper,2018-11-07 04:37:00-05:00,7109.056658318637,74.5,111.75,-0.0,BE
2018-11-13,2018,lower,2018-11-12 19:25:00-05:00,6819.068341681363,21.75,32.625,32.625,TP
2018-11-12,2018,lower,2018-11-12 09:35:00-05:00,6954.580814467397,41.75,62.625,-62.625,SL
2018-11-09,2018,lower,2018-11-09 10:09:00-05:00,7064.328806648229,47.5,71.25,-71.25,SL
2018-11-12,2018,lower,2018-11-12 09:33:00-05:00,6964.421336449568,41.75,62.625,-62.625,SL
2018-12-03,2018,upper,2018-12-03 03:23:00-05:00,7133.027366354532,15.0,22.5,-0.0,BE
2018-11-13,2018,lower,2018-11-12 19:25:00-05:00,6819.347633645468,21.75,32.625,32.625,TP
2018-11-15,2018,lower,2018-11-15 10:36:00-05:00,6713.886965552233,76.0,114.0,114.0,TP
2018-11-20,2018,lower,2018-11-20 03:09:00-05:00,6607.070313383321,27.0,40.5,0.0,BE
2018-12-07,2018,upper,2018-12-06 19:03:00-05:00,6855.091319993371,18.5,27.75,27.75,TP
2018-12-11,2018,upper,2018-12-11 07:18:00-05:00,6777.156957929634,41.0,61.5,61.5,TP
2018-12-17,2018,lower,2018-12-17 09:31:00-05:00,6580.1258437592405,28.5,42.75,-42.75,SL
2019-01-16,2019,upper,2019-01-16 09:46:00-05:00,6737.032903205678,8.25,12.375,12.375,TP
2019-01-15,2019,upper,2019-01-15 10:00:00-05:00,6662.19323713009,79.25,118.875,-0.0,BE
2019-01-16,2019,upper,2019-01-16 09:46:00-05:00,6722.655850578734,8.25,12.375,12.375,TP
2019-01-07,2019,upper,2019-01-06 19:05:00-05:00,6477.677631662258,15.25,22.875,22.875,TP
2019-01-02,2019,lower,2019-01-02 03:22:00-05:00,6190.850650717363,28.75,43.125,43.125,TP
2019-01-07,2019,upper,2019-01-06 19:03:00-05:00,6469.622688814719,15.25,22.875,-22.875,SL
2019-01-09,2019,upper,2019-01-08 20:44:00-05:00,6592.404916515026,12.0,18.0,18.0,TP
2019-01-16,2019,upper,2019-01-16 09:46:00-05:00,6728.68694918994,8.25,12.375,12.375,TP
2019-01-16,2019,upper,2019-01-16 09:46:00-05:00,6726.337475055081,8.25,12.375,12.375,TP
2019-01-16,2019,upper,2019-01-16 09:34:00-05:00,6704.761604978049,8.25,12.375,-12.375,SL
2019-01-16,2019,upper,2019-01-16 09:43:00-05:00,6712.858207946492,8.25,12.375,-12.375,SL
2019-01-15,2019,upper,2019-01-15 10:01:00-05:00,6665.6090780106315,79.25,118.875,-0.0,BE
2019-01-18,2019,upper,2019-01-18 09:28:00-05:00,6787.337417965857,12.75,19.125,19.125,TP
2019-01-31,2019,upper,2019-01-31 10:18:00-05:00,6890.707343383822,40.25,60.375,-15.042656616177737,cutoff
2019-01-31,2019,upper,2019-01-30 22:40:00-05:00,6877.574587733401,13.0,19.5,-0.0,BE
2019-01-29,2019,lower,2019-01-29 10:50:00-05:00,6645.175412266599,43.5,65.25,-16.42541226659887,cutoff
2019-02-05,2019,upper,2019-02-05 09:32:00-05:00,6989.33786269608,13.0,19.5,-19.5,SL
2019-02-05,2019,upper,2019-02-05 09:42:00-05:00,7009.18007981888,13.0,19.5,-19.5,SL
2019-02-05,2019,upper,2019-02-05 09:42:00-05:00,7002.985246036598,13.0,19.5,-19.5,SL
2019-02-20,2019,upper,2019-02-20 10:28:00-05:00,7097.012021466162,21.75,32.625,-0.0,BE
2019-02-25,2019,upper,2019-02-25 08:47:00-05:00,7145.63188688447,8.25,12.375,-12.375,SL
2019-02-13,2019,upper,2019-02-12 20:10:00-05:00,7048.242297560182,24.0,36.0,-0.007702439817876439,cutoff
2019-02-11,2019,upper,2019-02-11 04:04:00-05:00,6957.720813433837,42.75,64.125,-0.0,BE
2019-02-13,2019,upper,2019-02-12 20:23:00-05:00,7050.424233015479,24.0,36.0,-0.0,BE
2019-02-15,2019,upper,2019-02-15 09:28:00-05:00,7079.662188158134,27.5,41.25,41.25,TP
2019-02-25,2019,upper,2019-02-25 09:32:00-05:00,7154.204691815915,15.75,23.625,23.625,TP
2019-02-21,2019,upper,2019-02-20 22:39:00-05:00,7108.460236223982,29.0,43.5,-0.0,BE
2019-02-25,2019,upper,2019-02-25 08:36:00-05:00,7143.099411329964,8.25,12.375,-12.375,SL
2019-03-08,2019,lower,2019-03-08 08:30:00-05:00,6993.775588670036,11.75,17.625,-17.625,SL
2019-02-25,2019,upper,2019-02-25 08:36:00-05:00,7143.85614991366,8.25,12.375,-12.375,SL
2019-03-08,2019,lower,2019-03-08 08:31:00-05:00,6992.615333839507,11.75,17.625,-17.625,SL
2019-02-25,2019,upper,2019-02-25 09:35:00-05:00,7158.661820731426,15.75,23.625,23.625,TP
2019-02-25,2019,upper,2019-02-25 09:17:00-05:00,7152.178464094584,15.75,23.625,-0.0,BE
2019-03-08,2019,lower,2019-03-08 09:06:00-05:00,6973.696535905416,35.0,52.5,0.0,BE
