touched_at,year,side,z_gate,gate_pass,cap_5min,cap_30min,cap_1h,cap_4h,entry,sign
2023-07-27 20:00:00-04:00,2023,upper,1.071280560421789,False,0.10000000000013642,1.900000000000091,3.2000000000000455,4.5,1984.4290948454818,-1.0
2023-08-16 20:47:00-04:00,2023,lower,-0.5649235488496286,False,0.40000000000009095,1.5,2.0,2.599999999999909,1921.2709051545182,1.0
2023-08-03 03:07:00-04:00,2023,lower,-2.2807095889300713,False,1.0,2.300000000000182,3.7000000000000455,5.900000000000091,1966.2422235535325,1.0
2023-08-02 10:11:00-04:00,2023,lower,-2.572163992918185,False,1.800000000000182,3.5,4.2999999999999545,7.100000000000136,1977.929426729827,1.0
2023-08-04 08:30:00-04:00,2023,lower,-1.4518156949415923,False,1.599999999999909,2.599999999999909,2.300000000000182,3.2000000000000455,1956.4642364100148,1.0
2023-08-04 08:30:00-04:00,2023,lower,-1.4518156949415923,False,1.599999999999909,2.599999999999909,2.300000000000182,3.2000000000000455,1956.3070128025504,1.0
2023-08-14 08:24:00-04:00,2023,lower,-3.9229927327336007,False,2.400000000000091,1.6000000000001364,1.6000000000001364,4.0,1939.5494666938475,1.0
2023-08-14 08:11:00-04:00,2023,lower,-5.103513698459167,False,2.7999999999999545,1.6000000000001364,1.6000000000001364,4.0,1941.385645080157,1.0
2023-08-15 08:30:00-04:00,2023,lower,-0.0692642869519443,False,1.2999999999999545,3.800000000000182,2.2999999999999545,3.2999999999999545,1931.367262780136,1.0
2023-08-15 08:30:00-04:00,2023,lower,-0.0692642869519443,False,1.2999999999999545,3.800000000000182,2.2999999999999545,3.2999999999999545,1930.932267211278,1.0
2023-09-01 08:30:00-04:00,2023,upper,0.7258747445927843,False,3.900000000000091,3.900000000000091,1.900000000000091,4.100000000000136,1978.3285111368025,-1.0
2023-08-17 12:48:00-04:00,2023,lower,-1.3408649511241804,False,0.8000000000001819,1.8999999999998636,7.5,14.900000000000091,1917.8214888631976,1.0
2023-08-29 10:22:00-04:00,2023,upper,4.019231799479666,False,4.599999999999909,4.7999999999999545,5.2999999999999545,7.7999999999999545,1962.4103108748802,-1.0
