level_id,level_idx,session_date,created_at,expiry_at,side,level,touched_at
67_upper,67,2018-04-06,2018-04-06 10:30:00-04:00,2018-05-04 10:30:00-04:00,upper,6619.0978456369385,2018-04-09 22:42:00-04:00
67_lower,67,2018-04-06,2018-04-06 10:30:00-04:00,2018-05-04 10:30:00-04:00,lower,6479.0271543630615,2018-04-06 13:52:00-04:00
68_upper,68,2018-04-09,2018-04-09 10:30:00-04:00,2018-05-07 10:30:00-04:00,upper,6578.431956140486,2018-04-09 11:31:00-04:00
68_lower,68,2018-04-09,2018-04-09 10:30:00-04:00,2018-05-07 10:30:00-04:00,lower,6436.318043859514,2018-04-25 10:02:00-04:00
69_upper,69,2018-04-10,2018-04-10 10:30:00-04:00,2018-05-08 10:30:00-04:00,upper,6636.372314706821,2018-04-10 15:09:00-04:00
69_lower,69,2018-04-10,2018-04-10 10:30:00-04:00,2018-05-08 10:30:00-04:00,lower,6520.002685293179,2018-04-24 12:59:00-04:00
70_upper,70,2018-04-11,2018-04-11 10:30:00-04:00,2018-05-09 10:30:00-04:00,upper,6658.158586989304,2018-04-11 12:03:00-04:00
70_lower,70,2018-04-11,2018-04-11 10:30:00-04:00,2018-05-09 10:30:00-04:00,lower,6544.591413010696,2018-04-24 12:27:00-04:00
71_upper,71,2018-04-12,2018-04-12 10:30:00-04:00,2018-05-10 10:30:00-04:00,upper,6715.249701881181,2018-04-16 16:10:00-04:00
71_lower,71,2018-04-12,2018-04-12 10:30:00-04:00,2018-05-10 10:30:00-04:00,lower,6576.500298118819,2018-04-24 11:07:00-04:00
72_upper,72,2018-04-13,2018-04-13 10:30:00-04:00,2018-05-11 10:30:00-04:00,upper,6764.988533977954,2018-04-17 09:40:00-04:00
72_lower,72,2018-04-13,2018-04-13 10:30:00-04:00,2018-05-11 10:30:00-04:00,lower,6611.511466022046,2018-04-13 15:18:00-04:00
73_upper,73,2018-04-16,2018-04-16 10:30:00-04:00,2018-05-14 10:30:00-04:00,upper,6724.396042302284,2018-04-16 20:32:00-04:00
