level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason
733_upper,2020-11-09,2020,upper,2020-11-09 00:40:00+00:00,2020-11-08 20:09:00-05:00,12264.887181720746,83.5,68.75,-68.75,-1.0,SL
732_lower,2020-11-10,2020,lower,2020-11-10 00:24:00+00:00,2020-11-09 22:48:00-05:00,11791.119783901191,142.25,101.5,-101.5,-1.0,SL
735_upper,2020-11-12,2020,upper,2020-11-12 09:58:00+00:00,2020-11-12 11:40:00-05:00,11943.547030998565,75.0,64.0,75.0,1.171875,TP
740_lower,2020-11-19,2020,lower,2020-11-19 03:11:00+00:00,2020-11-19 00:38:00-05:00,11840.639868789596,39.0,39.0,39.0,1.0,TP
743_lower,2020-11-23,2020,lower,2020-11-23 16:10:00+00:00,2020-11-23 12:23:00-05:00,11832.25354562796,40.25,42.75,40.25,0.9415204678362573,TP
742_upper,2020-11-24,2020,upper,2020-11-24 17:35:00+00:00,2020-11-24 15:59:00-05:00,12052.997151594478,52.25,49.5,-22.252848405521945,-0.4495524930408474,cutoff
739_upper,2020-11-25,2020,upper,2020-11-25 00:10:00+00:00,2020-11-25 08:17:00-05:00,12141.813069613385,58.5,52.25,58.5,1.1196172248803828,TP
740_upper,2020-11-26,2020,upper,2020-11-26 01:33:00+00:00,2020-11-26 03:11:00-05:00,12188.735131210404,23.75,26.75,-26.75,-1.0,SL
746_upper,2020-11-27,2020,upper,2020-11-27 15:17:00+00:00,2020-11-27 10:31:00-05:00,12270.439816503806,25.75,31.0,-31.0,-1.0,SL
748_upper,2020-12-01,2020,upper,2020-12-01 15:02:00+00:00,2020-12-01 12:09:00-05:00,12410.052418330972,67.0,61.75,-61.75,-1.0,SL
751_upper,2020-12-07,2020,upper,2020-12-07 14:58:00+00:00,2020-12-07 11:13:00-05:00,12586.46422517784,21.75,25.25,-25.25,-1.0,SL
753_upper,2020-12-08,2020,upper,2020-12-08 19:27:00+00:00,2020-12-08 15:59:00-05:00,12650.77788791226,38.75,39.75,13.777887912259757,0.34661353238389325,cutoff
756_lower,2020-12-09,2020,lower,2020-12-09 18:27:00+00:00,2020-12-09 13:42:00-05:00,12447.054452187998,54.0,56.5,-56.5,-1.0,SL
752_lower,2020-12-10,2020,lower,2020-12-10 06:44:00+00:00,2020-12-10 09:12:00-05:00,12306.297441328374,83.75,66.25,-66.25,-1.0,SL
758_upper,2020-12-14,2020,upper,2020-12-14 14:57:00+00:00,2020-12-14 13:08:00-05:00,12513.505255950951,44.5,42.25,44.5,1.0532544378698225,TP
757_upper,2020-12-15,2020,upper,2020-12-15 14:30:00+00:00,2020-12-15 10:39:00-05:00,12569.580163178834,36.0,36.25,36.0,0.993103448275862,TP
759_upper,2020-12-16,2020,upper,2020-12-16 19:39:00+00:00,2020-12-16 15:59:00-05:00,12672.466798747517,43.75,44.75,-0.5332012524831953,-0.011915111787333973,cutoff
754_upper,2020-12-17,2020,upper,2020-12-17 07:21:00+00:00,2020-12-17 09:32:00-05:00,12722.324964145051,34.75,34.0,-34.0,-1.0,SL
761_upper,2020-12-18,2020,upper,2020-12-18 09:09:00+00:00,2020-12-18 05:25:00-05:00,12771.969398294714,28.5,32.5,28.5,0.8769230769230769,TP
756_upper,2020-12-18,2020,upper,2020-12-18 14:18:00+00:00,2020-12-18 09:34:00-05:00,12787.820547812002,27.0,31.0,27.0,0.8709677419354839,TP
762_lower,2020-12-21,2020,lower,2020-12-21 10:07:00+00:00,2020-12-21 05:47:00-05:00,12570.712238347563,69.0,65.75,-65.75,-1.0,SL
764_upper,2020-12-28,2020,upper,2020-12-28 13:45:00+00:00,2020-12-28 09:50:00-05:00,12816.798684725329,29.5,32.5,29.5,0.9076923076923077,TP
767_upper,2020-12-28,2020,upper,2020-12-28 18:32:00+00:00,2020-12-28 15:59:00-05:00,12843.84613888753,28.0,31.0,10.096138887529378,0.32568189959772187,cutoff
766_upper,2020-12-29,2020,upper,2020-12-29 05:37:00+00:00,2020-12-29 10:13:00-05:00,12879.983338357595,59.5,51.25,59.5,1.1609756097560975,TP
1287_lower,2023-01-06,2023,lower,2023-01-06 09:35:00+00:00,2023-01-06 08:30:00-05:00,10779.425622787592,62.75,58.25,62.75,1.0772532188841202,TP
1289_upper,2023-01-06,2023,upper,2023-01-06 19:10:00+00:00,2023-01-06 14:54:00-05:00,11087.332366046308,61.5,56.25,-56.25,-1.0,SL
1282_upper,2023-01-09,2023,upper,2023-01-09 14:30:00+00:00,2023-01-09 09:52:00-05:00,11211.791251359777,96.25,75.75,-75.75,-1.0,SL
1287_upper,2023-01-11,2023,upper,2023-01-11 15:30:00+00:00,2023-01-11 10:36:00-05:00,11388.574377212408,50.75,51.25,50.75,0.9902439024390244,TP
1292_upper,2023-01-11,2023,upper,2023-01-11 17:10:00+00:00,2023-01-11 13:14:00-05:00,11392.098088903716,47.5,46.0,-46.0,-1.0,SL
1293_upper,2023-01-12,2023,upper,2023-01-12 13:18:00+00:00,2023-01-12 08:29:00-05:00,11509.48180646574,68.0,59.25,68.0,1.1476793248945147,TP
1295_upper,2023-01-16,2023,upper,2023-01-16 01:58:00+00:00,2023-01-16 03:08:00-05:00,11631.48996521479,58.5,51.25,58.5,1.1414634146341462,TP
1277_upper,2023-01-17,2023,upper,2023-01-17 15:00:00+00:00,2023-01-17 10:40:00-05:00,11644.39805068837,37.0,42.0,37.0,0.8809523809523809,TP
1294_upper,2023-01-18,2023,upper,2023-01-18 13:30:00+00:00,2023-01-18 08:33:00-05:00,11716.054661598511,39.25,39.25,39.25,1.0,TP
1298_lower,2023-01-18,2023,lower,2023-01-18 16:32:00+00:00,2023-01-18 13:06:00-05:00,11541.78928211655,44.75,48.0,-48.0,-1.0,SL
1297_lower,2023-01-19,2023,lower,2023-01-19 10:26:00+00:00,2023-01-19 08:31:00-05:00,11413.349099754088,76.75,63.75,-63.75,-1.0,SL
1299_upper,2023-01-20,2023,upper,2023-01-20 18:37:00+00:00,2023-01-20 14:30:00-05:00,11574.570067525949,46.75,47.5,-47.5,-1.0,SL
1297_upper,2023-01-23,2023,upper,2023-01-23 14:51:00+00:00,2023-01-23 10:46:00-05:00,11802.650900245912,76.75,65.0,-65.0,-1.0,SL
1302_lower,2023-01-25,2023,lower,2023-01-25 14:30:00+00:00,2023-01-25 09:54:00-05:00,11693.33517488565,47.5,46.25,-46.25,-1.0,SL
1302_upper,2023-01-26,2023,upper,2023-01-26 14:32:00+00:00,2023-01-26 09:56:00-05:00,12061.53982511435,106.25,82.5,106.25,1.2878787878787878,TP
1304_upper,2023-01-27,2023,upper,2023-01-27 17:15:00+00:00,2023-01-27 14:23:00-05:00,12210.737101901372,64.0,59.5,-59.5,-1.0,SL
1306_lower,2023-01-31,2023,lower,2023-01-31 10:34:00+00:00,2023-01-31 08:30:00-05:00,11895.872014981738,75.5,63.25,75.5,1.1936758893280632,TP
