sess_date,year,side,touched_at,exit_ts,level,anchor,stop_pts,pnl
2025-01-28,2025,upper,2025-01-28 10:28:00-05:00,2025-01-28 15:00:00-05:00,6077.570954947286,36.0,54.0,-23.429045052714173
2025-01-31,2025,upper,2025-01-31 10:04:00-05:00,2025-01-31 15:00:00-05:00,6135.695170306517,12.25,18.375,18.375
2025-01-31,2025,upper,2025-01-31 10:12:00-05:00,2025-01-31 15:00:00-05:00,6137.3239234905,12.25,18.375,18.375
2025-02-03,2025,lower,2025-02-02 21:41:00-05:00,2025-02-03 15:00:00-05:00,5940.304045052714,17.5,26.25,26.25
2025-02-03,2025,lower,2025-02-02 21:50:00-05:00,2025-02-03 15:00:00-05:00,5935.752883654749,17.5,26.25,26.25
2025-02-06,2025,upper,2025-02-06 00:39:00-05:00,2025-02-06 15:00:00-05:00,6102.494841905949,4.5,6.75,6.75
2025-02-06,2025,upper,2025-02-06 09:24:00-05:00,2025-02-06 15:00:00-05:00,6105.938355524891,6.5,9.75,9.75
2025-02-07,2025,lower,2025-02-07 10:54:00-05:00,2025-02-07 15:00:00-05:00,6054.690420315346,18.25,27.375,27.375
2025-02-12,2025,lower,2025-02-12 08:37:00-05:00,2025-02-12 15:00:00-05:00,6024.544208957381,9.0,13.5,13.5
2025-02-13,2025,upper,2025-02-13 10:34:00-05:00,2025-02-13 15:00:00-05:00,6102.8204383009315,18.75,28.125,-28.125
2025-02-14,2025,upper,2025-02-14 02:08:00-05:00,2025-02-14 15:00:00-05:00,6145.966094433194,2.5,3.75,3.75
2025-02-18,2025,upper,2025-02-18 01:36:00-05:00,2025-02-18 15:00:00-05:00,6147.559579684654,2.75,4.125,-4.125
2025-02-21,2025,lower,2025-02-21 10:24:00-05:00,2025-02-21 15:00:00-05:00,6101.54148371019,29.5,44.25,-44.25
2025-02-24,2025,lower,2025-02-24 09:53:00-05:00,2025-02-24 15:00:00-05:00,6023.908905566806,4.25,6.375,-6.375
2025-02-25,2025,lower,2025-02-25 02:50:00-05:00,2025-02-25 15:00:00-05:00,5987.561644475109,9.0,13.5,13.5
2025-02-25,2025,lower,2025-02-25 09:54:00-05:00,2025-02-25 15:00:00-05:00,5971.0545616990685,10.25,15.375,15.375
2025-02-25,2025,lower,2025-02-25 10:13:00-05:00,2025-02-25 15:00:00-05:00,5958.505158094051,36.75,55.125,24.244841905949215
2025-02-25,2025,lower,2025-02-25 10:19:00-05:00,2025-02-25 15:00:00-05:00,5947.512462679192,36.75,55.125,35.23753732080786
2025-03-04,2025,lower,2025-03-04 09:50:00-05:00,2025-03-04 15:00:00-05:00,5795.275712869474,16.5,24.75,-24.75
2025-03-07,2025,lower,2025-03-07 10:40:00-05:00,2025-03-07 15:00:00-05:00,5703.889552486033,57.0,85.5,85.5
2025-03-17,2025,upper,2025-03-16 20:00:00-04:00,2025-03-17 15:00:00-04:00,5664.117191339289,11.75,17.625,-17.625
2025-03-24,2025,upper,2025-03-24 04:09:00-04:00,2025-03-24 15:00:00-04:00,5773.939907132513,6.25,9.375,-9.375
2025-03-25,2025,upper,2025-03-25 08:32:00-04:00,2025-03-25 15:00:00-04:00,5833.150172068393,14.75,22.125,22.125
2025-03-27,2025,lower,2025-03-27 09:43:00-04:00,2025-03-27 15:00:00-04:00,5720.760874686714,11.75,17.625,17.625
2025-03-28,2025,lower,2025-03-28 10:26:00-04:00,2025-03-28 15:00:00-04:00,5667.507165917551,29.25,43.875,-43.875
2025-04-03,2025,lower,2025-04-03 10:20:00-04:00,2025-04-03 15:00:00-04:00,5478.969883945787,49.25,73.875,-5.469883945786933
2025-04-14,2025,upper,2025-04-14 09:16:00-04:00,2025-04-14 15:00:00-04:00,5487.751594472456,31.0,46.5,46.5
2025-04-16,2025,lower,2025-04-16 01:18:00-04:00,2025-04-16 15:00:00-04:00,5363.99105432769,6.5,9.75,-9.75
2025-04-21,2025,lower,2025-04-21 10:00:00-04:00,2025-04-21 15:00:00-04:00,5218.787297395806,42.25,63.375,-63.375
2025-04-23,2025,upper,2025-04-22 19:00:00-04:00,2025-04-23 15:00:00-04:00,5420.962702604194,39.5,59.25,-59.25
