sess_date,year,side,touched_at,level,anchor,cap,pnl_be60,exit_be60,mae,mfe,uw60,be_dd
2021-03-16,2021,upper,2021-03-16 02:55:00-04:00,13151.866626470983,20.75,31.125,31.125,TP,-16.133,39.867,False,False
2021-03-16,2021,upper,2021-03-16 09:32:00-04:00,13171.475961304095,36.75,55.125,-55.125,SL,-58.024,18.726,,False
2021-03-17,2021,lower,2021-03-17 09:39:00-04:00,12945.071957511602,43.25,64.875,64.875,TP,-10.822,68.928,,False
2021-03-19,2021,lower,2021-03-19 02:01:00-04:00,12739.774038695905,43.75,65.625,65.625,TP,-26.274,74.726,,False
2021-03-19,2021,lower,2021-03-19 02:01:00-04:00,12727.008373529017,43.75,65.625,65.625,TP,-13.508,66.242,,False
2021-03-22,2021,upper,2021-03-22 10:00:00-04:00,13022.717653119242,93.25,139.875,-0.0,BE,-42.782,40.218,True,True
2021-03-24,2021,lower,2021-03-24 10:17:00-04:00,12917.899088749797,140.0,200.0,0.0,BE,-7.149,130.601,False,False
2021-03-25,2021,lower,2021-03-25 07:53:00-04:00,12741.205908997852,24.0,36.0,0.0,BE,-35.456,14.794,True,True
2021-03-25,2021,lower,2021-03-25 10:55:00-04:00,12634.480863298137,114.5,171.75,156.51913670186332,cutoff,-24.731,156.769,False,False
2021-03-31,2021,upper,2021-03-31 10:00:00-04:00,13057.544428571517,103.25,154.875,-0.0,BE,-69.206,0.0,True,True
2021-04-01,2021,upper,2021-04-01 03:24:00-04:00,13181.85833179647,43.0,64.5,-0.0,BE,-54.392,1.358,True,True
2021-04-01,2021,upper,2021-04-01 04:07:00-04:00,13228.238630547401,62.5,93.75,-0.0,BE,-8.011,36.489,False,False
2021-04-01,2021,upper,2021-04-01 09:36:00-04:00,13279.716633298362,25.75,38.625,-38.625,SL,-39.533,17.967,,False
2021-04-05,2021,upper,2021-04-05 08:40:00-04:00,13414.803042488398,23.25,34.875,-0.0,BE,-30.947,5.553,True,True
2021-04-05,2021,upper,2021-04-05 09:33:00-04:00,13438.997987515359,65.75,98.625,-0.0,BE,-86.752,16.998,True,True
2021-04-08,2021,upper,2021-04-08 06:27:00-04:00,13739.329262634976,31.25,46.875,-0.0,BE,-4.421,37.329,False,False
2021-04-08,2021,upper,2021-04-08 09:57:00-04:00,13752.062079921416,26.25,39.375,39.375,TP,-2.938,39.562,,False
2021-04-13,2021,upper,2021-04-13 08:39:00-04:00,13873.479850750839,33.75,50.625,-50.625,SL,-57.52,10.48,,False
2021-04-21,2021,lower,2021-04-20 22:01:00-04:00,13715.223625595678,23.25,34.875,34.875,TP,-4.724,37.526,False,False
2021-04-27,2021,upper,2021-04-27 01:51:00-04:00,14049.651374404322,6.0,9.0,9.0,TP,0.0,10.401,,False
2021-04-29,2021,upper,2021-04-29 08:44:00-04:00,14051.393956724412,26.75,40.125,40.125,TP,-12.606,40.394,,False
2021-04-29,2021,upper,2021-04-29 08:53:00-04:00,14061.127568847576,26.75,40.125,40.125,TP,-2.872,44.378,,False
2021-05-04,2021,lower,2021-05-03 20:20:00-04:00,13755.986604749303,24.75,37.125,0.0,BE,-28.487,1.263,True,True
2021-05-04,2021,lower,2021-05-03 21:22:00-04:00,13725.04197896484,27.5,41.25,41.25,TP,-1.042,43.208,False,False
2021-05-04,2021,lower,2021-05-04 07:40:00-04:00,13686.343941088197,30.75,46.125,0.0,BE,-36.094,18.156,True,True
