sess_date,year,side,touched_at,level,anchor,cap,pnl_standard,exit_standard
2021-12-07,2021,upper,2021-12-07 03:25:00-05:00,16066.717553940765,40.75,61.125,-61.125,SL
2021-12-08,2021,upper,2021-12-08 06:46:00-05:00,16420.0253666291,32.0,48.0,48.0,TP
2021-12-14,2021,lower,2021-12-14 04:40:00-05:00,16047.80046864001,26.75,40.125,-40.125,SL
2021-12-16,2021,upper,2021-12-16 06:28:00-05:00,16444.1005652676,38.5,57.75,57.75,TP
2021-12-17,2021,lower,2021-12-17 09:42:00-05:00,15660.17671606175,62.0,93.0,93.0,TP
2021-12-17,2021,lower,2021-12-17 10:22:00-05:00,15654.603758391648,186.0,200.0,200.0,TP
2021-12-20,2021,lower,2021-12-20 04:06:00-05:00,15509.440140084233,88.75,133.125,133.125,TP
2021-12-21,2021,upper,2021-12-21 01:50:00-05:00,15823.338074885565,21.0,31.5,31.5,TP
2021-12-22,2021,upper,2021-12-22 09:45:00-05:00,16014.14752821853,51.75,77.625,-77.625,SL
2021-12-23,2021,upper,2021-12-23 05:52:00-05:00,16200.362242887906,16.0,24.0,24.0,TP
2021-12-27,2021,upper,2021-12-27 09:32:00-05:00,16403.39085923301,24.25,36.375,-36.375,SL
2021-12-28,2021,upper,2021-12-28 03:28:00-05:00,16592.642008049654,22.0,33.0,-33.0,SL
2021-12-31,2021,lower,2021-12-30 19:28:00-05:00,16361.783170368326,15.5,23.25,23.25,TP
2022-01-04,2022,lower,2022-01-04 10:44:00-05:00,16280.964755748751,83.5,125.25,-125.25,SL
2022-01-05,2022,lower,2022-01-05 09:32:00-05:00,16139.413118399969,46.5,69.75,69.75,TP
2022-01-05,2022,lower,2022-01-05 09:34:00-05:00,16120.130755933289,46.5,69.75,69.75,TP
2022-01-10,2022,lower,2022-01-10 07:31:00-05:00,15446.47747178147,54.0,81.0,-81.0,SL
2022-01-11,2022,upper,2022-01-11 04:16:00-05:00,15645.538295963997,61.0,91.5,91.5,TP
2022-01-18,2022,lower,2022-01-18 03:10:00-05:00,15397.302536893398,34.75,52.125,-52.125,SL
2022-01-19,2022,lower,2022-01-18 21:47:00-05:00,15125.980470062965,64.5,96.75,96.75,TP
2022-01-19,2022,lower,2022-01-18 21:53:00-05:00,15088.58411136899,64.5,96.75,96.75,TP
2022-01-24,2022,lower,2022-01-24 05:26:00-05:00,14333.793796523118,86.75,130.125,-130.125,SL
2022-01-31,2022,upper,2022-01-31 10:02:00-05:00,14659.001656557593,217.75,200.0,-159.74834344240662,cutoff
2022-02-01,2022,upper,2022-02-01 02:12:00-05:00,14934.757318438846,35.0,52.5,52.5,TP
2022-02-02,2022,upper,2022-02-02 04:44:00-05:00,15221.075791511645,36.0,54.0,54.0,TP
2022-02-04,2022,lower,2022-02-04 08:54:00-05:00,14452.756770548807,117.0,175.5,175.5,TP
2022-02-09,2022,upper,2022-02-09 05:14:00-05:00,14872.83087731542,21.5,32.25,-32.25,SL
2022-02-14,2022,lower,2022-02-14 03:29:00-05:00,14123.867681561154,76.75,115.125,115.125,TP
2022-02-15,2022,upper,2022-02-15 04:19:00-05:00,14523.728553381487,249.0,200.0,-39.52144661851344,cutoff
2022-02-21,2022,lower,2022-02-20 19:04:00-05:00,13810.601816727918,118.75,178.125,178.125,TP
2022-02-22,2022,upper,2022-02-22 09:53:00-05:00,14078.253565031777,62.25,93.375,93.375,TP
2022-03-01,2022,upper,2022-03-01 02:07:00-05:00,14302.928269466458,51.25,76.875,76.875,TP
2022-03-01,2022,upper,2022-03-01 02:08:00-05:00,14321.309474498965,51.25,76.875,76.875,TP
2022-03-03,2022,upper,2022-03-03 09:02:00-05:00,14367.318002793538,135.25,200.0,200.0,TP
2022-03-04,2022,lower,2022-03-03 19:23:00-05:00,13953.51822142953,36.0,54.0,-54.0,SL
2022-03-11,2022,upper,2022-03-11 06:26:00-05:00,13824.115930626305,48.0,72.0,72.0,TP
2022-03-15,2022,lower,2022-03-15 03:13:00-04:00,12962.621135300313,38.5,57.75,57.75,TP
2022-03-16,2022,upper,2022-03-16 01:47:00-04:00,13578.503864699687,22.75,34.125,-34.125,SL
2022-03-18,2022,upper,2022-03-18 10:04:00-04:00,14187.741551871979,160.75,200.0,-142.50844812802097,cutoff
2022-03-21,2022,upper,2022-03-21 09:41:00-04:00,14453.856455113139,45.25,67.875,67.875,TP
